ÚLTIMA ATUALIZAÇÃO;16/07/2022 05:42                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NOME_PARLAMENTAR;PARTIDO;UF;TITULARIDADE;MANDATO;TELEFONES;DTNASC;EMAIL;CHEFE_GAB;ENDERECO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESPERIDIÃO AMIN;PP;SC;Titular;2019 / 2027;(61)3303-6446,(61)3303-6447,;21/12/1947;sen.esperidiaoamin@senado.leg.br;Amaro Lucio Da Silva;SENADO FEDERAL ANEXO 2   ALA NILO COELHO PAVIMENTO TÉRREO SALA 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FABIANO CONTARATO;PT;ES;Titular;2019 / 2027;(61)3303-9049,;20/06/1966;sen.fabianocontarato@senado.leg.br;Lisandra Melo Barbiero;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 06                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FABIO GARCIA;UNIÃO;MT;1º Suplente;2019 / 2027;(61)3303-2390,(61)3303-2384,;29/06/1977;sen.fabiogarcia@senado.leg.br;-;SENADO FEDERAL ANEXO II BLOCO A TÉRREO ALA AFFONSO ARINOS GABINETE 09                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FERNANDO BEZERRA COELHO;MDB;PE;Titular;2015 / 2023;(61)3303-2182,(61)3303-4084,(61)3303-2189;07/12/1957;sen.fernandobezerracoelho@senado.leg.br;-;SENADO FEDERAL EDIFÍCIO PRINCIPAL   ALA DINARTE MARIZ GABINETE 04                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
FERNANDO COLLOR;PTB;AL;Titular;2015 / 2023;(61)3303-5783,(61)3303-5787,(61)3303-5789;12/08/1949;Sen.fernandocollor@senado.leg.br;Joberto Mattos De Santanna;SENADO FEDERAL ANEXO 1  13º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
FLÁVIO ARNS;PODEMOS;PR;Titular;2019 / 2027;(61)3303-6301,;09/11/1950;sen.flavioarns@senado.leg.br;Aires Pereira Das Neves Junior;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 04                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
FLÁVIO BOLSONARO;PL;RJ;Titular;2019 / 2027;(61)3303-1717,(61)3303-1718,;30/04/1981;sen.flaviobolsonaro@senado.leg.br;Miguel Angelo Braga Grillo;SENADO FEDERAL ANEXO 1  17º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
GIORDANO;MDB;SP;1º Suplente;2019 / 2027;(61)3303-4177,;26/06/1973;sen.giordano@senado.leg.br;Francisco De Assis Dias;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 07                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HUMBERTO COSTA;PT;PE;Titular;2019 / 2027;(61)3303-6285,(61)3303-6286,;07/07/1957;sen.humbertocosta@senado.leg.br;Adilson Batista Bezerra;SENADO FEDERAL ANEXO 2   ALA RUY CARNEIRO GABINETE 01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
IRAJÁ;PSD;TO;Titular;2019 / 2027;(61)3303-6469,(61)3303-6474;03/02/1983;sen.iraja@senado.leg.br;Vilmar Bomfim Ayres Da Fonseca;SENADO FEDERAL ANEXO 1  21º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
IZALCI LUCAS;PSDB;DF;Titular;2019 / 2027;(61)3303-6049,(61)3303-6050,;07/04/1956;sen.izalcilucas@senado.leg.br;Celso Saleh Júnior (chefe substituto);SENADO FEDERAL ANEXO 1  11º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
JADER BARBALHO;MDB;PA;Titular;2019 / 2027;(61)3303-9831,(61)3303-9827,(61)3303-9828;27/10/1944;sen.jaderbarbalho@senado.leg.br;Leticia De Matos Pereira;SENADO FEDERAL ANEXO 1  2º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
JAQUES WAGNER;PT;BA;Titular;2019 / 2027;(61)3303-6390,(61)3303-6391,;16/03/1951;sen.jaqueswagner@senado.leg.br;Anna Carolina Rabello De Lucena Castro;SENADO FEDERAL ANEXO 1  23º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
JARBAS VASCONCELOS;MDB;PE;Titular;2019 / 2027;(61)3303-3522,;23/08/1942;sen.jarbasvasconcelos@senado.leg.br;Aristeu De Oliveira Plácido Junior;SENADO FEDERAL ANEXO 1  4º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
JEAN PAUL PRATES;PT;RN;1º Suplente;2015 / 2023;(61)3303-1777,(61)3303-1884,;19/06/1968;sen.jeanpaulprates@senado.leg.br;Romolo Mazzoccante Júnior;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 03                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
JORGE KAJURU;PODEMOS;GO;Titular;2019 / 2027;(61)3303-2844,(61)3303-2031,;20/01/1961;sen.jorgekajuru@senado.leg.br;Murilo De Souza Arrais;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
JORGINHO MELLO;PL;SC;Titular;2019 / 2027;(61)3303-2200,;15/07/1956;sen.jorginhomello@senado.leg.br;Paulo Victor Da Silva De Medeiros;SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 50                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
JOSÉ SERRA;PSDB;SP;Titular;2015 / 2023;(61)3303-6651,(61)3303-6655,(61)3303-6659;19/03/1942;sen.joseserra@senado.leg.br;-;SENADO FEDERAL EDIFÍCIO PRINCIPAL   ALA DINARTE MARIZ GABINETE 02                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
KATIA ABREU;PP;TO;Titular;2015 / 2023;(61)3303-2464,(61)3303-2708,(61)3303-2990;02/02/1962;sen.katiaabreu@senado.leg.br;Glauceni Nunes De Souza Hoffmann;SENADO FEDERAL ANEXO 1  6º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
LASIER MARTINS;PODEMOS;RS;Titular;2015 / 2023;(61)3303-2323,(61)3303-2329,;14/04/1942;sen.lasiermartins@senado.leg.br;Ismael Mota Gomes De Almeida;SENADO FEDERAL ANEXO 2   ALA ALEXANDRE COSTA PAVIMENTO TÉRREO GABINETE 03                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
LEILA BARROS;PDT;DF;Titular;2019 / 2027;(61)3303-6427,;30/09/1971;sen.leilabarros@senado.leg.br;Ricarda Raquel Barbosa Lima;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
LUCAS BARRETO;PSD;AP;Titular;2019 / 2027;(61)3303-4851,;10/11/1964;sen.lucasbarreto@senado.leg.br;Cassio Ruy Caporal;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 02                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
LUIS CARLOS HEINZE;PP;RS;Titular;2019 / 2027;(61)3303-4124,(61)3303-4127,;14/09/1950;sen.luiscarlosheinze@senado.leg.br;Claudio Pereira Santa Catarina;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
LUIZ DO CARMO;PSC;GO;1º Suplente;2015 / 2023;(61)3303-6439,(61)3303-6440,;02/04/1958;sen.luizcarlosdocarmo@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA ALEXANDRE COSTA 1º PAVIMENTO GABINETE 21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LUIZ PASTORE;MDB;ES;1º Suplente;2015 / 2023;(61)3303-1156,(61)3303-1129,;10/07/1949;sen.luizpastore@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
MAILZA GOMES;PP;AC;1º Suplente;2015 / 2023;(61)3303-1367,(61)3303-1347,;10/12/1976;sen.mailzagomes@senado.leg.br;Antônio Oscar Guimarães Lossio;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
MARA GABRILLI;PSDB;SP;Titular;2019 / 2027;(61)3303-2191,(61)3303-2775;28/09/1967;sen.maragabrilli@senado.leg.br;Sérgio Portilho Simão;SENADO FEDERAL EDIFÍCIO PRINCIPAL  1º ANDAR  GABINETE 05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
MARCELO CASTRO;MDB;PI;Titular;2019 / 2027;(61)3303-6130,(61)3303-4078,;09/06/1950;sen.marcelocastro@senado.leg.br;José Da Guia Guimarães;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
MARCOS DO VAL;PODEMOS;ES;Titular;2019 / 2027;(61)3303-6747,(61)3303-6753,;15/06/1971;sen.marcosdoval@senado.leg.br;Silvia Ligia Suassuna De Vasconcelos;SENADO FEDERAL ANEXO 1  18º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
MARCOS ROGÉRIO;PL;RO;Titular;2019 / 2027;(61)3303-6148,;07/07/1978;sen.marcosrogerio@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 02                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
MARGARETH BUZETTI;PP;MT;1º Suplente;2019 / 2027;(61)3303-6408,;31/10/1959;sen.margarethbuzetti@senado.leg.br;Wilson Gambogi Pinheiro Taques;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
MARIA DAS VITÓRIAS;PSD;AC;1º Suplente;2019 / 2027;(61)3303-4086,(61)3303-6708,;04/02/1943;sen.mariadasvitorias@senado.leg.br;Alexandre Cruvinel Lopes;SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 54                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
MARIA DO CARMO ALVES;PP;SE;Titular;2015 / 2023;(61)3303-1306,(61)3303-4055,;23/08/1941;sen.mariadocarmoalves@senado.leg.br;Marden Nascimento Costa;SENADO FEDERAL ANEXO 2   ALA NILO COELHO PAVIMENTO TÉRREO GABINETE 08                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
MECIAS DE JESUS;REPUBLICANOS;RR;Titular;2019 / 2027;(61)3303-5291,(61)3303-5292,;08/02/1962;sen.meciasdejesus@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA RUY CARNEIRO GABINETE 02                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NELSINHO TRAD FILHO;PSD;MS;Titular;2019 / 2027;(61)3303-6767,(61)3303-6768,;05/09/1961;sen.nelsinhotrad@senado.leg.br;Maria Genilse Dos Santos;SENADO FEDERAL ANEXO 1  24º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NILDA GONDIM;MDB;PB;1º Suplente;2015 / 2023;(61)3303-6490,(61)3303-6485,(61)3303-6493;30/03/1946;sen.nildagondim@senado.leg.br;Ranilton Monteiro Neves;SENADO FEDERAL ANEXO 1  7º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
OMAR AZIZ;PSD;AM;Titular;2015 / 2023;(61)3303-6579,(61)3303-6524,;13/08/1958;sen.omaraziz@senado.leg.br;Renan Fernandes Do Nascimento;SENADO FEDERAL ANEXO 2   ALA FILINTO MÜLLER GABINETE 01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ORIOVISTO GUIMARÃES;PODEMOS;PR;Titular;2019 / 2027;(61)3303-1635,;12/08/1945;sen.oriovistoguimaraes@senado.leg.br;André Augusto Sak;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
OTTO ALENCAR;PSD;BA;Titular;2015 / 2023;(61)3303-1464,(61)3303-1467,(61)3303-2862;28/08/1947;sen.ottoalencar@senado.leg.br;Fábio De Rezende Scarton Coutinho;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 09                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PAULO PAIM;PT;RS;Titular;2019 / 2027;(61)3303-5232,(61)3303-5231,(61)3303-5235;15/03/1950;sen.paulopaim@senado.leg.br;Ivanete Ferronatto;SENADO FEDERAL ANEXO 1  22º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PAULO ROCHA;PT;PA;Titular;2015 / 2023;(61)3303-3800,;01/04/1951;sen.paulorocha@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 08                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PLÍNIO VALÉRIO;PSDB;AM;Titular;2019 / 2027;(61)3303-2833,(61)3303-2835,;31/01/1955;sen.pliniovalerio@senado.leg.br;Glaucia Maria De Borba Benevides Gadelha;SENADO FEDERAL ANEXO 2 ALA ALEXANDRE COSTA 1º PAVIMENTO  GABINETE 01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
RAFAEL TENORIO;MDB;AL;1º Suplente;2019 / 2027;(61)3303-2261,;15/03/1954;sen.rafaeltenorio@senado.leg.br;Hugo Nogueira Leahy Moura;SENADO FEDERAL ANEXO 1  15º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
RANDOLFE RODRIGUES;REDE;AP;Titular;2019 / 2027;(61)3303-6777,(61)3303-6568,;06/11/1972;sen.randolferodrigues@senado.leg.br;-;SENADO FEDERAL ANEXO 1  9º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
REGUFFE;UNIÃO;DF;Titular;2015 / 2023;(61)3303-6355,;05/09/1972;sen.reguffe@senado.leg.br;Marcus Vinicius Borges De Sousa;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ROBERTH BRINGEL;UNIÃO;MA;1º Suplente;2019 / 2027;(61)3303-4161,(61)3303-1655,;15/03/1952;sen.roberthbringel@senado.leg.br;Cristina Lino Coêlho Stuckert;SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 57                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ROBERTO ROCHA;PTB;MA;Titular;2015 / 2023;(61)3303-1437,(61)3303-1506,(61)3303-1438;04/08/1965;sen.robertorocha@senado.leg.br;Luis Paulo De Area Leão Rosas Costa;SENADO FEDERAL ANEXO 1  25º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
RODRIGO PACHECO;PSD;MG;Titular;2019 / 2027;(61)3303-2794,(61)3303-2795,;03/11/1976;sen.rodrigopacheco@senado.leg.br;Regina Celia Simplicio;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 24                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ROGÉRIO CARVALHO;PT;SE;Titular;2019 / 2027;(61)3303-2201,(61)3303-2203,;02/08/1968;sen.rogeriocarvalho@senado.leg.br;Frederico De Pina Álvares Filho;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ROMÁRIO;PL;RJ;Titular;2015 / 2023;(61)3303-6519,(61)3303-6517,(61)3303-6520;29/01/1966;sen.romario@senado.leg.br;Wester Eliezer Silva Santos;SENADO FEDERAL ANEXO 2   ALA NILO COELHO PAVIMENTO TÉRREO GABINETE 11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SIMONE TEBET;MDB;MS;Titular;2015 / 2023;(61)3303-1128,(61)3303-1920;22/02/1970;sen.simonetebet@senado.leg.br;Jacqueline Mousinho Macario;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SORAYA THRONICKE;UNIÃO;MS;Titular;2019 / 2027;(61)3303-1775,;01/06/1973;sen.sorayathronicke@senado.leg.br;Vanda Josefina Branchine;SENADO FEDERAL EDIFÍCIO PRINCIPAL   ALA DINARTE MARIZ GABINETE 01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
STYVENSON VALENTIM;PODEMOS;RN;Titular;2019 / 2027;(61)3303-1148,;07/02/1977;sen.styvensonvalentim@senado.leg.br;Davi Anjos Paiva;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 04                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
TASSO JEREISSATI;PSDB;CE;Titular;2015 / 2023;(61)3303-4502,(61)3303-4503,;15/12/1948;sen.tassojereissati@senado.leg.br;Fernando Neves De Freitas Banhos;SENADO FEDERAL ANEXO 1  14º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
