"ULTIMA ATUALIZACAO";"02/07/2022 02:01"
"ANO";"MES";"SENADOR";"TIPO_DESPESA";"CNPJ_CPF";"FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO";"COD_DOCUMENTO"
"2022";"2";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"XIEAJP";"05/02/2022";"Companhia Aérea: GOL, Localizador: XIEAJP. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1182 - GRUCAC - 09/02/2022; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1475 - BSBGRU - 09/02/2022;";"1895";"2174224"
"2022";"2";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"ZOJPQP";"05/02/2022";"Companhia Aérea: LATAM, Localizador: ZOJPQP. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3117 - NVTBSB - 07/02/2022;";"2296,42";"2174223"
"2022";"2";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"MIMSDC";"09/02/2022";"Companhia Aérea: LATAM, Localizador: MIMSDC. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3117 - NVTBSB - 14/02/2022;";"2333,82";"2174979"
"2022";"2";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"VTNIDU";"17/02/2022";"Companhia Aérea: GOL, Localizador: VTNIDU. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 1278 - CGHNVT - 18/02/2022;";"1817,19";"2174983"
"2022";"2";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"KD7YSI";"23/02/2022";"Companhia Aérea: AZUL, Localizador: KD7YSI. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4680 - CGBJPR - 05/03/2022; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4162 - CWBCGB - 05/03/2022;";"2530";"2175726"
"2022";"3";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"004.948.028-63";"GILBERTO PISELO DO NASCIMENTO";"003/22";"01/03/2022";"Despesa com aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná/RO.";"6000";"2175736"
"2022";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"08.742.048/0001-87";"CMP COMUNICAÇÃO E ASSESSORIA LTDA -ME";"000000000005041/A";"09/03/2022";"Despesa com divulgação da atividade parlamentar no site rondoniaovivo.com";"1000";"2176690"
"2022";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"26.320.603/0001-64";"INFORMANAHORA";"000000000000353/A";"07/03/2022";"Despesa com divulgação da atividade parlamentar no website www.informanahora.com";"1500";"2175744"
"2022";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"26.320.603/0001-64";"INFORMANAHORA";"000000000000362/A";"23/03/2022";"Despesa com divulgação da atividade parlamentar no website www.informanahora.com";"1500";"2177635"
"2022";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"41.845.127/0001-99";"J. J. M. CALADO EIRELI";"23";"04/03/2022";"Despesa com divulgação da atividade parlamentar";"1000";"2175740"
"2022";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"37.153.908/0001-45";"JANAINA NUNES DE OLIVEIRA";"000000000000079/A";"30/03/2022";"Despesa com divulgação da atividade parlamentar no site o observador";"1000";"2177637"
"2022";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"13.659.201/0001-47";"LINHA PURPURA FOTO E VIDEO LTDA";"123";"04/03/2022";"Despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar";"6000";"2175738"
"2022";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"30.637.754/0001-18";"RUBENS COITINHO DOS SANTOS";"000000000000595/A";"31/03/2022";"Despesa com divulgação da atividade parlamentar";"1000";"2177640"
"2022";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.010.040/0025-81";"PIONEIRO COMBUSTIVEIS LTDA";"000001156";"08/03/2022";"Despesa com aquisição de combustível para abastecimento de aeronave";"2860";"2176688"
"2022";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.010.040/0025-81";"PIONEIRO COMBUSTIVEIS LTDA";"000001178";"25/03/2022";"Despesa com combustível para abastecimento de aeronave";"2860";"2177636"
"2022";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.010.040/0025-81";"PIONEIRO COMBUSTIVEIS LTDA";"000001183";"30/03/2022";"Despesa com aquisição de combustível para abastecimento de aeronave";"2888,6";"2178312"
"2022";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.707.538/0001-20";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.012.204";"10/03/2022";"Despesa com aquisição de combustível para abastecimento de aeronave";"4260";"2176692"
"2022";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.707.538/0001-20";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.012.228";"22/03/2022";"Despesa com aquisição de combustível para abastecimento de aeronave";"2840";"2176697"
"2022";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.707.538/0001-20";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.012.229";"22/03/2022";"Despesa com aquisição de combustível para abastecimento de aeronave";"6390";"2176699"
"2022";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.707.538/0001-20";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.012.250";"30/03/2022";"Despesa com aquisição de combustível para abastecimento de aeronave";"2840";"2179375"
"2022";"3";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"UCEEMW";"03/03/2022";"Companhia Aérea: LATAM, Localizador: UCEEMW. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3379 - PVHBSB - 09/03/2022;";"896,12";"2176687"
"2022";"3";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"QIAEXV";"15/03/2022";"Companhia Aérea: LATAM, Localizador: QIAEXV. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3378 - BSBPVH - 17/03/2022;";"2959,12";"2176693"
"2022";"3";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"KVXLCF";"18/03/2022";"Companhia Aérea: LATAM, Localizador: KVXLCF. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3378 - BSBPVH - 24/03/2022;";"1008,82";"2177633"
"2022";"3";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"KTVQHY";"18/03/2022";"Companhia Aérea: AZUL, Localizador: KTVQHY. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3379 - PVHBSB - 21/03/2022;";"3547,23";"2176694"
"2022";"4";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"004.948.028-63";"GILBERTO PISELO DO NASCIMENTO";"004/22";"01/04/2022";"Despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná";"6000";"2177655"
"2022";"4";"ACIR GURGACZ";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"13.659.201/0001-47";"LINHA PURPURA FOTO E VIDEO LTDA";"126";"01/04/2022";"Despesa com edição de vídeo e produção de textos para divulgação de atividade parlamentar";"6000";"2177653"
"2022";"4";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"08.742.048/0001-87";"CMP COMUNICAÇÃO E ASSESSORIA LTDA -ME";"000000000005099/A";"01/04/2022";"Despesa com divulgação da atividade parlamentar no site rondoniaovivo.com";"1000";"2177652"
"2022";"4";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"41.845.127/0001-99";"J. J. M. CALADO EIRELI";"30";"01/04/2022";"Despesa com divulgação da atividade parlamentar";"1000";"2177650"
"2022";"4";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"08.941.827/0001-01";"RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA";"000000000001837/A";"04/04/2022";"Despesa com divulgação da atividade parlamentar";"1000";"2177658"
"2022";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"34.274.233/0112-10";"VIBRA ENERGIA S.A.";"000109908";"26/04/2022";"Despesa com aquisição de combustível para abastecimento de aeronave";"16448,4";"2179387"
"2022";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.707.538/0001-20";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.012.272";"04/04/2022";"Despesa com aquisição de combustível para abastecimento de aeronave";"15150";"2177665"
"2022";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.707.538/0001-20";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.012.331";"30/04/2022";"Despesa com aquisição de combustíveis para abastecimento de aeronave";"11130,2";"2181277"
"2022";"4";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"GFDRDJ";"01/04/2022";"Companhia Aérea: AZUL, Localizador: GFDRDJ. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3739 - IGUBSB - 03/04/2022;";"2175,45";"2177654"
"2022";"4";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"MJYBZN";"04/04/2022";"Companhia Aérea: LATAM, Localizador: MJYBZN. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3255 - BSBGRU - 08/04/2022;";"3500,32";"2178313"
"2022";"4";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"JDJPES";"10/04/2022";"Companhia Aérea: AZUL, Localizador: JDJPES. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3260 - GRUBSB - 11/04/2022;";"3890";"2178314"
"2022";"4";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"EYZIWG";"12/04/2022";"Companhia Aérea: LATAM, Localizador: EYZIWG. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3724 - BSBCWB - 14/04/2022;";"3385";"2179379"
"2022";"4";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"JICRUF";"13/04/2022";"Companhia Aérea: LATAM, Localizador: JICRUF. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3725 - CWBBSB - 18/04/2022;";"3585";"2179381"
"2022";"4";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"MMYKCB";"14/04/2022";"Companhia Aérea: LATAM, Localizador: MMYKCB. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3770 - BSBPVH - 19/04/2022;";"1024,22";"2181276"
"2022";"4";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"ILB4YN";"19/04/2022";"Companhia Aérea: AZUL, Localizador: ILB4YN. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4864 - VCPIGU - 20/04/2022; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 2755 - BSBVCP - 20/04/2022;";"2910";"2179784"
"2022";"5";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"004.948.028-63";"GILBERTO PISELO DO NASCIMENTO";"005/22";"02/05/2022";"Despesa com pagamento de aluguel de imóvel para uso do escritório político do Senador Acir Gurgacz em Ji-Paraná/RO.";"6000";"2179390"
"2022";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.010.040/0025-81";"PIONEIRO COMBUSTIVEIS LTDA";"000001208";"05/05/2022";"Despesa com aquisição de combustível para abastecimento de aeronave";"4851,6";"2181279"
"2022";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.707.538/0001-20";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.012.342";"06/05/2022";"Despesa com aquisição de combustível para abastecimento de aeronave";"2840";"2181281"
"2022";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.707.538/0001-20";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.012.359";"09/05/2022";"Despesa com aquisição de combustível para abastecimento de aeronave";"4260";"2181284"
"2022";"5";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"HDGHGA";"04/05/2022";"Companhia Aérea: LATAM, Localizador: HDGHGA. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3770 - BSBPVH - 05/05/2022;";"2980";"2181278"
"2022";"5";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"ASPYOZ";"06/05/2022";"Companhia Aérea: LATAM, Localizador: ASPYOZ. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3771 - PVHBSB - 10/05/2022;";"2391,86";"2181283"
"2022";"5";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"LMYZ9X";"09/05/2022";"Companhia Aérea: AZUL, Localizador: LMYZ9X. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 2940 - CGBBSB - 16/05/2022; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4681 - JPRCGB - 16/05/2022;";"2050";"2181293"
"2022";"5";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"KDQK6S";"09/05/2022";"Companhia Aérea: AZUL, Localizador: KDQK6S. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4680 - CGBJPR - 13/05/2022; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4838 - BSBCGB - 13/05/2022;";"2445";"2181286"
"2022";"1";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"28.839.939/0001-63";"CASA DESIGN SERVICOS DE APOIO ADMINISTRATIVO LTDA";"1253";"04/01/2022";"";"500";"2175348"
"2022";"1";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"06.028.059/0001-74";"CASA SHOPPING DESING LTDA - EPP";"1872";"10/02/2022";"";"3300";"2175347"
"2022";"1";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"40.432.544/0107-03";"CLARO S.A / NET";"2201905697962";"01/01/2022";"";"235,96";"2174131"
"2022";"1";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13.017.462/0001-63";"ENERGISA";"042.551.180";"13/01/2022";"";"455,96";"2174169"
"2022";"1";"ALESSANDRO VIEIRA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"11.088.468/0001-04";"KAFLEX COMERCIAL LTDA";"00000001";"23/02/2022";"";"800";"2175349"
"2022";"1";"ALESSANDRO VIEIRA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"26.472.085/0001-02";"Maxcolor Copiadora";"00000013";"21/01/2022";"";"200";"2174130"
"2022";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"23.412.247/0001-10";"AMAZON AWS SERVICOS BRASIL LTDA";"00697126";"02/02/2022";"";"103,24";"2175350"
"2022";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"26.433.933/0001-66";"BEN COMUNICAÇÃO LTDA ME";"00000015";"20/01/2022";"";"9040";"2174128"
"2022";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"29.813.266/0001-35";"FAROL CONSULTORIA EM PUBLICIDADE LTDA";"00000070";"11/03/2022";"";"6400";"2175984"
"2022";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"25.012.398/0001-07";"GOOGLE CLOUD BRASIL COMPUTAÇÃO E SERVIÇOS DE DADOS LTDA";"02934775";"02/01/2022";"";"210,92";"2174136"
"2022";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"26.440.622/0001-24";"JOSE EDMILSON DA SILVA JUNIOR SOCIEDADE INDIVIDUAL DE ADVOCACIA";"00000002";"17/01/2022";"";"2500";"2178723"
"2022";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02.351.877/0001-52";"LOCAWEB SERVICOS DE INTERNET S.A.";"0036172916";"05/01/2022";"";"45,9";"2174133"
"2022";"1";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.591.976/0001-56";"FRANCO E OLIVEIRA SERVIÇOS LTDA - ME";"899";"14/01/2022";"";"100";"2174140"
"2022";"1";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.591.976/0001-56";"FRANCO E OLIVEIRA SERVIÇOS LTDA - ME";"900";"14/01/2022";"";"220";"2174141"
"2022";"1";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.591.976/0001-56";"FRANCO E OLIVEIRA SERVIÇOS LTDA - ME";"898";"14/01/2022";"";"300";"2174139"
"2022";"1";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.591.976/0001-56";"FRANCO E OLIVEIRA SERVIÇOS LTDA - ME";"897";"14/01/2022";"";"1900";"2174137"
"2022";"1";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"32.725.905/0001-15";"POSTO RIO POXIM LTDA";"000006622";"28/01/2022";"";"2346,23";"2174019"
"2022";"2";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"28.839.939/0001-63";"CASA DESIGN SERVICOS DE APOIO ADMINISTRATIVO LTDA";"1284";"09/02/2022";"";"500";"2175548"
"2022";"2";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"06.028.059/0001-74";"CASA SHOPPING DESING LTDA - EPP";"1929";"04/03/2022";"";"3300";"2178167"
"2022";"2";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"40.432.544/0107-03";"CLARO S.A / NET";"2202905694976";"05/02/2022";"";"235,96";"2178171"
"2022";"2";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13.017.462/0001-63";"ENERGISA";"3/736026-6";"11/02/2022";"";"476,92";"2178176"
"2022";"2";"ALESSANDRO VIEIRA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"41.148.275/0001-54";"CL LOCAÇÃO E MANUTENÇÃO DE MOVEIS LTDA";"00000002";"23/02/2022";"";"1000";"2178168"
"2022";"2";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"23.412.247/0001-10";"AMAZON AWS SERVICOS BRASIL LTDA";"00782870";"02/03/2022";"";"93,32";"2175552"
"2022";"2";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"26.433.933/0001-66";"BEN COMUNICAÇÃO LTDA ME";"00000052";"03/03/2022";"";"7102,85";"2175546"
"2022";"2";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"29.813.266/0001-35";"FAROL CONSULTORIA EM PUBLICIDADE LTDA";"00000071";"11/03/2022";"";"6400";"2175985"
"2022";"2";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"25.012.398/0001-07";"GOOGLE CLOUD BRASIL COMPUTAÇÃO E SERVIÇOS DE DADOS LTDA";"03024308";"02/02/2022";"";"221,36";"2175549"
"2022";"2";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"26.440.622/0001-24";"JOSE EDMILSON DA SILVA JUNIOR SOCIEDADE INDIVIDUAL DE ADVOCACIA";"00000006";"21/02/2022";"";"2500";"2179989"
